frame,brightness,size,catchlights,blink
542,67.70989236289083,3902,4,0
543,68.050822122571,4014,4,0
544,68.01083743842365,4060,4,0
545,67.51200768491834,4164,4,0
546,0.0,0,0,1
547,0.0,0,0,1
548,0.0,0,0,1
549,48.049056603773586,530,1,1
550,0.0,0,0,1
551,0.0,0,0,1
552,0.0,0,0,1
553,0.0,0,0,1
554,0.0,0,0,1
555,0.0,0,0,1
556,0.0,0,0,1
557,0.0,0,0,1
558,0.0,0,0,1
559,0.0,0,0,1
560,0.0,0,0,1
561,0.0,0,0,1
562,0.0,0,0,1
563,0.0,0,0,1
564,0.0,0,0,1
565,0.0,0,0,1
566,0.0,0,0,1
567,53.92035398230089,452,1,1
568,54.08438818565401,474,1,1
569,55.30183727034121,762,2,1
570,55.1356783919598,796,2,1
571,57.0792507204611,1388,3,0
572,55.79054054054054,1480,4,0
573,56.24249422632794,1732,4,0
574,57.094682230869005,1542,3,0
575,57.814266487214,1486,3,0
576,58.662131519274375,1764,3,0
577,60.08391608391609,1716,3,0
578,58.32629107981221,1704,3,0
579,59.7736131934033,1334,2,1
580,59.58303886925795,1698,3,0
581,60.2363834422658,1836,3,0
582,60.3691073219659,1994,3,0
583,60.76076076076076,1998,3,0
584,61.85175438596491,2280,3,0
585,61.601694915254235,2360,3,0
586,63.729795918367344,2450,3,0
587,64.08596918085969,2466,3,0
588,63.90219092331768,2556,3,0
589,64.33458929917106,2654,3,0
590,64.89296407185628,2672,3,0
591,63.868456375838925,2980,4,0
592,63.84433634468381,2878,4,0
593,64.40973201692525,2836,4,0
594,64.33847184986595,2984,4,0
595,64.22781623662681,3178,4,0
596,64.49733570159857,3378,4,0
597,64.7519287833828,3370,4,0
598,65.08303249097473,3324,4,0
599,64.3335322195704,3352,4,0
600,64.33675316837659,3314,4,0
601,64.57881619937694,3210,4,0
602,64.82056074766355,3210,4,0
603,64.7533039647577,3178,4,0
604,63.61128928800513,3118,4,0
605,64.21985815602837,1410,2,1
606,63.556300268096514,1492,2,1
607,62.99068901303538,3222,4,0
608,64.03093987157034,3426,4,0
609,64.83797909407666,3444,4,0
610,66.07280750137893,3626,4,0
611,67.21982758620689,3712,4,0
612,66.93290734824281,3756,4,0
613,67.7811320754717,3710,4,0
614,68.01573976915006,3812,4,0
615,67.25792811839324,3784,4,0
616,69.00594273365748,3702,4,0
617,67.99358974358974,3744,4,0
618,68.19686316928069,3698,4,0
619,68.1448275862069,3770,4,0
620,67.70403825717322,3764,4,0
621,67.94949494949495,3960,4,0
